Seeds,Graines,
Crop,Culture,
Crops and lands,Cultures et terres,
Agriculture Management,Gestion agricole,
Analytic,Analytique,
Disease & Fertilizer,Maladie et Engrais,
Crop Category,Catégorie de culture,
TOTAL CROP,RÉCOLTE TOTALE,
Spices and Herbs,Épices et herbes,
"This category includes crops like pepper, basil, oregano, and turmeric. Spices and herbs are used to flavor food and for their medicinal properties.","Cette catégorie comprend des cultures comme le poivre, le basilic, l'origan et le curcuma. Les épices et les herbes sont utilisées pour aromatiser les aliments et pour leurs propriétés médicinales.",
Cash Crops,Cultures commerciales,
"Industrial crops include plants like sugarcane (for sugar and biofuel production), rubber trees (for natural rubber), and hemp (for fibers and various industrial applications).","
Les cultures industrielles comprennent des plantes comme la canne à sucre (pour la production de sucre et de biocarburants), l’hévéa (pour le caoutchouc naturel) et le chanvre (pour les fibres et diverses applications industrielles).",
Medicinal and Aromatic Plants (MAPs),Plantes Médicinales et Aromatiques,
"These crops, like aloe vera, lavender, and mint, are cultivated for their medicinal or aromatic properties and are used in various industries, including pharmaceuticals and perfumery.","Ces cultures, comme l’aloe vera, la lavande et la menthe, sont cultivées pour leurs propriétés médicinales ou aromatiques et sont utilisées dans diverses industries, notamment pharmaceutique et parfumerie.",
Cereals,Céréales,
